BOTTOM BLOCKS HISTORY | PATTERN SELECTED : GLIDER | LAUNCH DATE : 2023/07/24 15:14:07

Ticks,Bottom Block 0 X,Bottom Block 0 Y
0,1.0,38.0
1,1.0,38.0
2,1.0,37.0
3,1.0,37.0
4,2.0,37.0
5,2.0,37.0
6,2.0,36.0
7,2.0,36.0
8,3.0,36.0
9,3.0,36.0
10,3.0,35.0
11,3.0,35.0
12,4.0,35.0
13,4.0,35.0
14,4.0,34.0
15,4.0,34.0
16,5.0,34.0
17,5.0,34.0
18,5.0,33.0
19,5.0,33.0
20,6.0,33.0
21,6.0,33.0
22,6.0,32.0
23,6.0,32.0
24,7.0,32.0
25,7.0,32.0
26,7.0,31.0
27,7.0,31.0
28,8.0,31.0
29,8.0,31.0
30,8.0,30.0
31,8.0,30.0
32,9.0,30.0
33,9.0,30.0
34,9.0,29.0
35,9.0,29.0
36,10.0,29.0
37,10.0,29.0
38,10.0,28.0
39,10.0,28.0
40,11.0,28.0
41,11.0,28.0
42,11.0,27.0
43,11.0,27.0
44,12.0,27.0
45,12.0,27.0
46,12.0,26.0
47,12.0,26.0
48,13.0,26.0
49,13.0,26.0
50,13.0,25.0
51,13.0,25.0
52,14.0,25.0
53,14.0,25.0
54,14.0,24.0
55,14.0,24.0
56,15.0,24.0
57,15.0,24.0
58,15.0,23.0
59,15.0,23.0
60,16.0,23.0
61,16.0,23.0
62,16.0,22.0
63,16.0,22.0
64,17.0,22.0
65,17.0,22.0
66,17.0,21.0
67,17.0,21.0
68,18.0,21.0
69,18.0,21.0
70,18.0,20.0
71,18.0,20.0
72,19.0,20.0
73,19.0,20.0
74,19.0,19.0
75,19.0,19.0
76,20.0,19.0
77,20.0,19.0
78,20.0,18.0
79,20.0,18.0
80,21.0,18.0
81,21.0,18.0
82,21.0,17.0
83,21.0,17.0
84,22.0,17.0
85,22.0,17.0
86,22.0,16.0
87,22.0,16.0
88,23.0,16.0
89,23.0,16.0
90,23.0,15.0
91,23.0,15.0
92,24.0,15.0
93,24.0,15.0
94,24.0,14.0
95,24.0,14.0
96,25.0,14.0
97,25.0,14.0
98,25.0,13.0
99,25.0,13.0
