MIDDLE BLOCKS HISTORY | PATTERN SELECTED : GLIDER | LAUNCH DATE : 2023/08/07 13:47:52

Ticks,Middle Block 0 X,Middle Block 0 Y,Middle Block 1 X,Middle Block 1 Y,Middle Block 2 X,Middle Block 2 Y,Middle Block 3 X,Middle Block 3 Y,Middle Block 4 X,Middle Block 4 Y
0,0.0,39.0,0.0,39.0,,,
1,0.0,39.0,0.0,39.0,0.0,40.0,,
2,0.0,39.0,0.0,39.0,0.0,40.0,,
3,0.0,39.0,0.0,39.0,0.0,40.0,,
4,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,
5,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,
6,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
7,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
8,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
9,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
10,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
11,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
12,0.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
13,1.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
14,1.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
15,1.0,39.0,0.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
16,0.0,38.0,1.0,39.0,0.0,40.0,0.0,40.0,0.0,40.0
17,0.0,38.0,0.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
18,0.0,38.0,0.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
19,0.0,38.0,0.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
20,1.0,38.0,0.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
21,0.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
22,1.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
23,1.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
24,1.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
25,1.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
26,1.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
27,1.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
28,1.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
29,2.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
30,2.0,38.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
31,2.0,37.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
32,1.0,37.0,1.0,38.0,0.0,40.0,0.0,40.0,0.0,40.0
33,1.0,37.0,1.0,37.0,0.0,40.0,0.0,40.0,0.0,40.0
34,1.0,37.0,1.0,37.0,0.0,40.0,0.0,40.0,0.0,40.0
35,1.0,37.0,1.0,37.0,0.0,40.0,0.0,40.0,0.0,40.0
36,1.0,37.0,1.0,37.0,0.0,40.0,0.0,40.0,0.0,40.0
37,2.0,37.0,1.0,37.0,0.0,40.0,0.0,40.0,0.0,40.0
38,2.0,37.0,1.0,37.0,0.0,40.0,0.0,40.0,0.0,40.0
