MIDDLE BLOCKS HISTORY | PATTERN SELECTED : GLIDER_GUN | LAUNCH DATE : 2023/07/04 21:43:23

Ticks,Middle Block 0 X,Middle Block 0 Y,Middle Block 1 X,Middle Block 1 Y,Middle Block 2 X,Middle Block 2 Y,Middle Block 3 X,Middle Block 3 Y,Middle Block 4 X,Middle Block 4 Y,Middle Block 5 X,Middle Block 5 Y,Middle Block 6 X,Middle Block 6 Y,Middle Block 7 X,Middle Block 7 Y,Middle Block 8 X,Middle Block 8 Y,Middle Block 9 X,Middle Block 9 Y
0,11.0,38.0,6.0,37.0,17.0,38.0,0.0,37.0,5.0,37.0,10.0,38.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
1,10.0,38.0,5.0,37.0,17.0,38.0,0.0,37.0,5.0,37.0,10.0,38.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
2,10.0,38.0,6.0,37.0,17.0,38.0,0.0,37.0,5.0,36.0,10.0,38.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
3,10.0,38.0,6.0,37.0,17.0,38.0,0.0,37.0,5.0,36.0,10.0,38.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
4,10.0,38.0,6.0,37.0,17.0,38.0,0.0,37.0,4.0,37.0,10.0,38.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
5,11.0,38.0,6.0,37.0,17.0,38.0,0.0,37.0,4.0,36.0,11.0,38.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
6,11.0,38.0,6.0,37.0,17.0,38.0,0.0,37.0,4.0,36.0,11.0,37.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
7,11.0,38.0,5.0,37.0,17.0,38.0,0.0,37.0,4.0,37.0,12.0,37.0,17.0,38.0,0.0,37.0,7.0,37.0,12.0,37.0
8,11.0,38.0,5.0,37.0,17.0,38.0,0.0,37.0,4.0,37.0,12.0,37.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
9,11.0,38.0,5.0,37.0,17.0,38.0,0.0,37.0,3.0,37.0,12.0,38.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
10,11.0,38.0,5.0,37.0,17.0,38.0,0.0,37.0,3.0,37.0,12.0,37.0,17.0,38.0,0.0,37.0,8.0,36.0,12.0,37.0
11,12.0,38.0,5.0,37.0,17.0,38.0,0.0,37.0,3.0,37.0,12.0,37.0,17.0,38.0,0.0,37.0,8.0,37.0,12.0,37.0
12,12.0,38.0,5.0,37.0,17.0,38.0,0.0,37.0,3.0,37.0,12.0,38.0,17.0,38.0,0.0,37.0,9.0,36.0,12.0,37.0
