MIDDLE BLOCKS HISTORY | PATTERN SELECTED : HERSCHEL | LAUNCH DATE : 2022/02/16 13:52:38

Ticks,Middle Block 0 X,Middle Block 0 Y,Middle Block 1 X,Middle Block 1 Y
0,25.0,32.0,25.0,32.0
1,25.0,32.0,25.0,32.0
2,25.0,32.0,25.0,32.0
3,25.0,32.0,25.0,31.0
4,25.0,32.0,25.0,31.0
5,25.0,31.0,25.0,32.0
6,25.0,32.0,25.0,32.0
7,25.0,32.0,24.0,32.0
8,24.0,32.0,24.0,31.0
9,24.0,32.0,24.0,32.0
10,24.0,31.0,25.0,32.0
11,24.0,31.0,24.0,32.0
12,24.0,31.0,24.0,31.0
13,25.0,31.0,24.0,31.0
14,24.0,31.0,25.0,31.0
15,25.0,31.0,24.0,30.0
16,24.0,30.0,24.0,30.0
17,24.0,30.0,23.0,30.0
18,24.0,30.0,24.0,30.0
19,24.0,30.0,24.0,30.0
20,24.0,30.0,24.0,30.0
21,24.0,30.0,23.0,31.0
22,23.0,30.0,23.0,31.0
23,23.0,30.0,23.0,30.0
24,23.0,30.0,23.0,30.0
25,23.0,30.0,23.0,30.0
26,23.0,30.0,23.0,30.0
27,23.0,30.0,23.0,30.0
28,23.0,30.0,23.0,30.0
29,23.0,30.0,22.0,30.0
30,23.0,30.0,22.0,30.0
31,22.0,30.0,22.0,30.0
32,22.0,30.0,22.0,30.0
33,22.0,30.0,22.0,30.0
34,22.0,30.0,23.0,30.0
35,22.0,30.0,23.0,31.0
36,22.0,30.0,23.0,31.0
37,22.0,30.0,21.0,30.0
38,22.0,30.0,21.0,30.0
39,21.0,30.0,21.0,31.0
40,21.0,30.0,20.0,30.0
41,22.0,30.0,20.0,30.0
42,22.0,30.0,20.0,30.0
43,21.0,30.0,21.0,31.0
44,21.0,30.0,21.0,31.0
45,22.0,30.0,20.0,30.0
46,21.0,30.0,20.0,30.0
47,21.0,30.0,20.0,31.0
48,20.0,30.0,20.0,31.0
49,21.0,30.0,20.0,31.0
50,21.0,30.0,20.0,30.0
51,20.0,30.0,20.0,30.0
52,21.0,30.0,20.0,31.0
53,21.0,31.0,19.0,30.0
54,21.0,31.0,19.0,30.0
55,20.0,30.0,20.0,30.0
56,20.0,30.0,20.0,30.0
57,20.0,30.0,19.0,30.0
58,20.0,31.0,19.0,30.0
59,20.0,31.0,20.0,31.0
60,20.0,30.0,20.0,30.0
61,21.0,30.0,20.0,29.0
62,21.0,29.0,20.0,28.0
63,21.0,29.0,21.0,29.0
64,21.0,30.0,20.0,30.0
65,21.0,30.0,20.0,29.0
66,21.0,29.0,20.0,30.0
67,20.0,29.0,21.0,30.0
68,21.0,30.0,20.0,29.0
69,21.0,30.0,20.0,29.0
70,21.0,29.0,20.0,30.0
71,21.0,30.0,20.0,30.0
72,20.0,30.0,20.0,30.0
73,20.0,30.0,19.0,30.0
74,20.0,30.0,19.0,30.0
75,20.0,30.0,20.0,31.0
76,20.0,30.0,20.0,31.0
77,20.0,30.0,19.0,30.0
78,20.0,30.0,20.0,31.0
79,20.0,30.0,20.0,30.0
80,20.0,30.0,20.0,31.0
81,20.0,30.0,20.0,31.0
82,20.0,31.0,19.0,30.0
83,20.0,30.0,20.0,30.0
84,20.0,30.0,19.0,30.0
85,20.0,30.0,19.0,29.0
86,20.0,30.0,19.0,30.0
87,20.0,29.0,20.0,29.0
88,20.0,29.0,19.0,29.0
89,20.0,30.0,19.0,29.0
90,20.0,30.0,19.0,30.0
91,19.0,30.0,19.0,30.0
92,19.0,30.0,19.0,29.0
93,19.0,29.0,19.0,28.0
94,19.0,28.0,19.0,29.0
95,19.0,28.0,19.0,29.0
96,19.0,28.0,18.0,29.0
97,19.0,29.0,19.0,28.0
98,19.0,28.0,19.0,29.0
99,19.0,28.0,19.0,29.0
