MIDDLE BLOCKS HISTORY | PATTERN SELECTED : PERSONAL | LAUNCH DATE : 2023/07/12 14:16:01

Ticks,Middle Block 0 X,Middle Block 0 Y,Middle Block 1 X,Middle Block 1 Y,Middle Block 2 X,Middle Block 2 Y,Middle Block 3 X,Middle Block 3 Y
0,16.0,35.0,22.0,31.0,16.0,35.0,22.0,31.0
1,16.0,35.0,22.0,31.0,16.0,36.0,22.0,30.0
2,16.0,35.0,22.0,30.0,17.0,34.0,22.0,30.0
3,17.0,34.0,22.0,30.0,17.0,34.0,22.0,30.0
4,17.0,34.0,22.0,30.0,17.0,34.0,22.0,30.0
5,17.0,34.0,22.0,30.0,17.0,34.0,23.0,29.0
6,17.0,34.0,22.0,30.0,17.0,34.0,22.0,30.0
7,17.0,34.0,22.0,30.0,17.0,34.0,22.0,30.0
8,17.0,34.0,22.0,30.0,17.0,34.0,22.0,30.0
9,17.0,34.0,23.0,30.0,17.0,34.0,22.0,30.0
10,17.0,34.0,23.0,29.0,17.0,34.0,23.0,30.0
11,17.0,34.0,23.0,29.0,17.0,34.0,22.0,30.0
12,17.0,34.0,22.0,29.0,17.0,34.0,22.0,30.0
13,17.0,34.0,22.0,29.0,17.0,34.0,22.0,29.0
14,17.0,34.0,22.0,29.0,17.0,34.0,22.0,29.0
15,17.0,34.0,22.0,29.0,17.0,34.0,22.0,29.0
16,17.0,34.0,22.0,29.0,17.0,34.0,22.0,29.0
17,17.0,34.0,22.0,29.0,17.0,34.0,22.0,29.0
18,17.0,34.0,23.0,28.0,17.0,34.0,22.0,29.0
19,17.0,34.0,23.0,28.0,17.0,34.0,23.0,28.0
20,17.0,34.0,23.0,28.0,17.0,34.0,23.0,28.0
21,17.0,34.0,23.0,28.0,17.0,34.0,22.0,28.0
22,17.0,34.0,22.0,28.0,17.0,34.0,22.0,29.0
23,17.0,34.0,22.0,28.0,17.0,34.0,23.0,27.0
24,17.0,34.0,22.0,27.0,17.0,34.0,23.0,27.0
25,17.0,34.0,23.0,27.0,17.0,34.0,23.0,26.0
26,17.0,34.0,23.0,27.0,17.0,34.0,23.0,27.0
27,17.0,34.0,23.0,27.0,17.0,34.0,23.0,27.0
28,17.0,34.0,23.0,27.0,17.0,34.0,23.0,26.0
29,17.0,34.0,23.0,27.0,17.0,34.0,23.0,26.0
30,17.0,34.0,23.0,27.0,17.0,34.0,23.0,27.0
31,17.0,34.0,23.0,26.0,17.0,34.0,24.0,26.0
32,17.0,34.0,23.0,27.0,17.0,34.0,24.0,26.0
33,17.0,34.0,23.0,26.0,17.0,34.0,24.0,26.0
34,17.0,34.0,23.0,26.0,17.0,34.0,23.0,26.0
35,17.0,34.0,23.0,26.0,17.0,34.0,23.0,26.0
36,17.0,34.0,23.0,26.0,17.0,34.0,23.0,26.0
37,17.0,34.0,23.0,26.0,17.0,34.0,23.0,26.0
38,17.0,34.0,23.0,25.0,17.0,34.0,23.0,26.0
39,17.0,34.0,23.0,25.0,17.0,34.0,23.0,25.0
40,17.0,34.0,23.0,25.0,17.0,34.0,23.0,25.0
41,17.0,34.0,23.0,26.0,17.0,34.0,23.0,25.0
42,17.0,34.0,23.0,26.0,17.0,34.0,23.0,25.0
43,17.0,34.0,23.0,26.0,17.0,34.0,23.0,25.0
44,17.0,34.0,23.0,25.0,17.0,34.0,24.0,27.0
45,17.0,34.0,23.0,26.0,17.0,34.0,23.0,27.0
46,17.0,34.0,23.0,26.0,17.0,34.0,24.0,25.0
47,17.0,34.0,23.0,25.0,17.0,34.0,23.0,25.0
48,17.0,34.0,23.0,26.0,17.0,34.0,23.0,26.0
49,17.0,34.0,23.0,26.0,17.0,34.0,23.0,26.0
50,17.0,34.0,23.0,26.0,17.0,34.0,23.0,27.0
51,17.0,34.0,23.0,26.0,17.0,34.0,23.0,28.0
52,17.0,34.0,24.0,27.0,17.0,34.0,24.0,28.0
53,17.0,34.0,23.0,28.0,17.0,34.0,23.0,28.0
54,17.0,34.0,23.0,27.0,17.0,34.0,24.0,27.0
55,17.0,34.0,23.0,27.0,17.0,34.0,24.0,28.0
56,17.0,34.0,24.0,27.0,17.0,34.0,24.0,27.0
57,17.0,34.0,24.0,28.0,17.0,34.0,24.0,27.0
58,17.0,34.0,24.0,28.0,17.0,34.0,24.0,28.0
59,17.0,34.0,24.0,28.0,17.0,34.0,24.0,28.0
60,17.0,34.0,24.0,28.0,17.0,34.0,24.0,28.0
61,17.0,34.0,24.0,28.0,17.0,34.0,24.0,29.0
62,17.0,34.0,24.0,28.0,17.0,34.0,24.0,29.0
63,17.0,34.0,24.0,28.0,17.0,34.0,24.0,28.0
64,17.0,34.0,24.0,28.0,17.0,34.0,24.0,26.0
65,17.0,34.0,24.0,28.0,17.0,34.0,24.0,27.0
66,17.0,34.0,24.0,27.0,17.0,34.0,24.0,28.0
67,17.0,34.0,24.0,28.0,17.0,34.0,23.0,27.0
68,17.0,34.0,24.0,27.0,17.0,34.0,24.0,28.0
69,17.0,34.0,24.0,28.0,17.0,34.0,23.0,29.0
70,17.0,34.0,24.0,29.0,17.0,34.0,23.0,28.0
71,17.0,34.0,24.0,30.0,17.0,34.0,23.0,30.0
72,17.0,34.0,24.0,30.0,17.0,34.0,24.0,28.0
73,17.0,34.0,24.0,29.0,17.0,34.0,24.0,28.0
74,17.0,34.0,25.0,29.0,17.0,34.0,24.0,28.0
75,17.0,34.0,25.0,29.0,17.0,34.0,24.0,27.0
76,17.0,34.0,25.0,29.0,17.0,34.0,25.0,27.0
77,17.0,34.0,25.0,28.0,17.0,34.0,24.0,28.0
78,17.0,34.0,25.0,28.0,17.0,34.0,24.0,28.0
79,17.0,34.0,25.0,28.0,17.0,34.0,24.0,28.0
80,17.0,34.0,25.0,28.0,17.0,34.0,25.0,28.0
81,17.0,34.0,25.0,29.0,17.0,34.0,25.0,28.0
82,17.0,34.0,25.0,29.0,17.0,34.0,24.0,29.0
83,17.0,34.0,25.0,29.0,17.0,34.0,24.0,29.0
84,17.0,34.0,25.0,29.0,17.0,34.0,25.0,28.0
85,17.0,34.0,25.0,30.0,17.0,34.0,25.0,29.0
86,17.0,34.0,25.0,29.0,17.0,34.0,24.0,29.0
87,17.0,34.0,25.0,30.0,17.0,34.0,24.0,30.0
88,17.0,34.0,25.0,29.0,17.0,34.0,25.0,29.0
89,17.0,34.0,25.0,31.0,17.0,34.0,25.0,30.0
90,17.0,34.0,26.0,30.0,17.0,34.0,25.0,30.0
91,17.0,34.0,26.0,31.0,17.0,34.0,25.0,31.0
92,17.0,34.0,25.0,31.0,17.0,34.0,25.0,30.0
93,17.0,34.0,25.0,32.0,17.0,34.0,25.0,31.0
94,17.0,34.0,25.0,32.0,17.0,34.0,25.0,32.0
95,17.0,34.0,26.0,31.0,17.0,34.0,25.0,32.0
96,17.0,34.0,26.0,32.0,17.0,34.0,25.0,31.0
97,17.0,34.0,26.0,32.0,17.0,34.0,26.0,31.0
98,17.0,34.0,26.0,31.0,17.0,34.0,25.0,31.0
99,17.0,34.0,26.0,31.0,17.0,34.0,25.0,31.0
